ID,User Story,Acceptance Criteria
US-29,"As an admin,
I want to edit the stock amount for any medication,
so that stock levels reflect deliveries or corrections.","Given I am on the Medication Storage tab as admin,
When I change the amount for a storage entry and save,
Then the updated stock level is shown immediately."
US-30,"As a nurse,
I want to report missing medication by selecting the storage entry, entering the quantity missing, and a timestamp,
so that losses are tracked and stock is automatically reduced.","Given I am on the Medication Storage tab,
When I submit a missing medication report with a quantity and timestamp,
Then the stock amount is reduced by that quantity and the report is saved."
US-31,"As an admin,
I want to view and manage all missing medication reports,
so that I can investigate and follow up on losses.","Given I am logged in as admin,
When I open the missing storage section,
Then I see a list of all reports with medication, quantity missing, and timestamp, and I can edit or delete them."
US-32,"As any visitor,
I want to search for medicine prices by product name,
so that I can look up publicly available price information.","Given I am on the medicine price search page,
When I enter a product name and search,
Then I see a list of matching medicines from the external Danish medicines API."
US-33,"As any visitor,
I want to search for medicines by active ingredient,
so that I can find alternatives to a specific branded product.","Given I am on the medicine price search page,
When I enter an ingredient name and search,
Then I see all products containing that ingredient."
US-34,"As any visitor,
I want to click on a search result to see detailed product information,
so that I can compare options.","Given I see a list of medicine search results,
When I click on a product,
Then I see its full details including pricing information."
US-35,"As a nurse or doctor,
I want to book a room for a patient by selecting the room, patient, start time, and end time,
so that the patient has an assigned room during their stay.","Given I am on the Book Room tab,
When I fill in the room, patient, start time, and end time and submit,
Then a new room booking is created and appears in the bookings list."
US-36,"As a nurse or doctor,
I want the system to prevent me from booking a room that is already occupied during the requested time,
so that double-bookings do not happen.","Given a room already has a booking for a time period,
When I try to book the same room with an overlapping time,
Then the system rejects the booking and shows a conflict error."
US-37,"As a nurse or doctor,
I want to allow a new booking to start exactly when another ends,
so that room transitions are handled smoothly.","Given a room booking ends at time T,
When I create a new booking for the same room starting at time T,
Then the booking is accepted without a conflict error."
US-38,"As a nurse or doctor,
I want to edit an existing room booking,
so that I can correct dates or change the room assignment.","Given I am viewing the room bookings list,
When I edit a booking and save,
Then the updated details are reflected in the list and conflict checking excludes the booking being edited."
US-39,"As a nurse or doctor,
I want to delete a room booking,
so that cancelled stays are cleared from the schedule.","Given I am viewing the room bookings list,
When I delete a booking,
Then it is removed from the list and that room becomes available for that time slot."
US-40,"As an admin,
I want to create a new staff member with their first name, last name, and role,
so that new employees are registered in the system.","Given I am on the Staff Management tab,
When I fill in the staff form and submit,
Then the new staff member appears in the staff list."
US-41,"As an admin,
I want to edit and delete staff records,
so that the staff list stays current.","Given I am on the Staff Management tab,
When I edit or delete a staff record and save,
Then the list reflects the change."
US-42,"As an admin,
I want to filter and sort the staff list,
so that I can find specific people quickly.","Given I am viewing the staff list,
When I enter a filter value or click a column header,
Then the list filters or sorts accordingly."
US-43,"As an admin,
I want to create, edit, and delete departments,
so that the organizational structure of the hospital is reflected in the system.","Given I am on the Departments tab,
When I create, edit, or delete a department and save,
Then the change is immediately reflected in the department list."
US-44,"As an admin,
I want to create, edit, and delete shifts with a start and end time,
so that working hours are tracked in the system.","Given I am on the Shifts tab as admin,
When I create, edit, or delete a shift and save,
Then the shift list updates to reflect the change."
US-45,"As a nurse or doctor,
I want to view the shift schedule filtered by a date range,
so that I can check upcoming or past shifts.","Given I am on the Shifts tab,
When I enter a from-date and to-date and apply the filter,
Then only shifts within that date range are shown."
US-46,"As a nurse or doctor,
I want to sort the shift list by start or end time,
so that the schedule is easy to read.","Given I am viewing the shift list,
When I click the start time or end time column header,
Then the list is sorted by that column in ascending or descending order."
US-47,"As an admin,
I want to register a new user account linked to a staff member,
so that staff can log into the system.","Given I am on the Users tab,
When I enter a username, password, and select a staff member and submit,
Then the new user account is created and the staff member can log in with those credentials."
US-48,"As an admin,
I want to change a user's password,
so that I can help staff who have lost access.","Given I am on the Users tab,
When I enter a new password for a user and save,
Then the user can log in with the new password and no longer with the old one."
US-49,"As an admin,
I want to delete a user account,
so that former staff can no longer log in.","Given I am on the Users tab,
When I delete a user account,
Then that account is removed and login with those credentials is no longer possible."
US-50,"As an admin,
I want to view the full location hierarchy,
so that I know what rooms are available for booking.","Given I am logged in as admin,
When I open the location view,
Then I see all buildings with their floors and rooms listed."
US-51,"As an admin,
I want to create, edit, and delete floors,
so that the building structure can be managed.","Given I am viewing the location hierarchy,
When I create, edit, or delete a floor and save,
Then the floor list updates to reflect the change."
US-52,"As an admin,
I want to assign staff members to treatments,
so that it is recorded which staff were involved in a patient's care.","Given I am on the Treatment Staff tab,
When I select a treatment and a staff member and submit,
Then the assignment is saved and visible in the treatment staff list."
US-53,"As an admin,
I want to edit and remove treatment-staff assignments,
so that records stay accurate.","Given I am on the Treatment Staff tab,
When I edit or delete an assignment and save,
Then the list reflects the updated or removed assignment."
